policy_number,policyholder_name,policyholder_dob,license_number,address,vehicle_make,vehicle_model,vehicle_year,vin,insurance_company,coverage_start,coverage_end,coverage_type,premium_amount,payment_frequency,civil_liability_coverage,dcpd,bodily_injury_compensation,uninsured_motorist_protection,claim_date,claim_type,claim_amount_paid,fault_determination,insurance_adjuster,damage_type,repair_cost,repair_garage
QC-31473635,Darren Garcia,1956-04-12,Q3703828,"319 Laurie Radial Apt. 736, Brendaport, BC Y8L5R1",Toyota,Civic,2021,5f12fd02-20fb-455,Québec Auto Insurance Corp,2025-01-08,2020-02-08,All,2230.03,Monthly,50000,False,Covered by SAAQ,True,2024-05-23,Fire,13100.12,At-Fault,Theresa Bass,None,3136.0,"Rice, Todd and Miller"
QC-41764002,John Lambert DVM,1964-03-20,Q1005095,"068 Tracy Stream Suite 076, New Caitlin, NU R6K 7H8",Ford,X5,2007,5ae0dfb7-fc52-4a3,Desjardins,2020-11-17,2020-07-21,Comprehensive,1407.7,Annually,50000,False,Covered by SAAQ,True,2022-02-11,Fire,8529.18,Not-At-Fault,Ricky Ortega,Front bumper dent,1867.56,Allen Ltd
QC-78642958,Andrea Anderson,1996-11-06,Q6854877,"39183 Mccormick Village, New Amy, BC G8X5K4",BMW,X5,2007,4c110f3e-6c2d-4dd,Intact Insurance,2022-11-26,2021-08-30,Collision,1027.7,Quarterly,50000,True,Covered by SAAQ,True,2022-11-27,Fire,11871.84,Not-At-Fault,Michael Davis,Total loss,1886.35,"Wilkinson, Pollard and Patel"
QC-85821077,Jeffrey Lawrence,1952-09-27,Q4108966,"349 Hernandez Overpass, North Michaelville, QC G4B 4R9",Honda,F-150,2019,6ba04ef3-daee-486,Intact Insurance,2024-06-30,2024-04-06,All,1850.03,Monthly,50000,True,Covered by SAAQ,True,2024-09-24,Fire,12350.31,At-Fault,Billy Osborne,Front bumper dent,1144.33,Taylor-Grant
QC-96333645,Monica Anderson,1947-09-26,Q2338286,"604 Shari Viaduct Apt. 466, Johnathanberg, AB E8C8B3",Honda,Camry,2009,e537121d-6407-443,Québec Auto Insurance Corp,2022-01-20,2020-03-19,All,1415.11,Quarterly,50000,True,Covered by SAAQ,True,2021-01-29,None,1624.49,At-Fault,Seth Valentine,Front bumper dent,2102.51,"Sanders, Mcknight and Atkinson"
QC-13311135,Jeffrey Jimenez,1949-10-18,Q1811861,"40772 Powell Pines, North Scott, AB T6Y8N5",Toyota,Civic,2006,483bc98e-5964-4a7,Intact Insurance,2020-02-26,2023-05-23,All,1523.5,Monthly,50000,True,Covered by SAAQ,True,2023-01-14,Vandalism,8423.56,At-Fault,Christopher Moore,Windshield crack,217.97,Harper-Sullivan
QC-58638250,Stephen Ramos,1963-08-04,Q4566517,"65900 Emily Forest Apt. 169, West Kathryn, MB T1V 4H8",Toyota,Civic,2010,d4c50b9f-b7ab-451,Intact Insurance,2023-02-08,2024-08-03,All,1082.55,Annually,50000,True,Covered by SAAQ,True,2022-04-28,Theft,7691.3,At-Fault,Zachary Sweeney,Windshield crack,4067.19,Walker Inc
QC-87785232,Shawn Reynolds,1989-07-10,Q1442076,"6629 Richard Field Suite 996, Port Linda, NB P5M 4L6",Toyota,Camry,2005,ec9fcd3a-42e0-413,Desjardins,2022-01-11,2024-08-27,Liability,2076.31,Monthly,50000,True,Covered by SAAQ,True,2021-10-12,Vandalism,3498.7,At-Fault,Shawn Smith,Windshield crack,334.64,Dunn Group
QC-23632260,Mr. Gerald Morton MD,1944-03-26,Q8869614,"7477 Morales Pike, Aliciaton, AB G2K9H4",Chevrolet,Camry,2021,a81feddd-6c84-497,Intact Insurance,2020-11-16,2022-04-30,Collision,986.59,Monthly,50000,True,Covered by SAAQ,True,2020-07-27,Collision,14936.26,At-Fault,Dennis Morris,Front bumper dent,4080.54,"Davis, Pollard and Brown"
QC-76683716,Belinda Barnes,1955-10-11,Q9960460,"6935 Paul Square, Caitlintown, BC B8Y1T8",Ford,X5,2020,99b78a48-b35d-4d5,Québec Auto Insurance Corp,2022-10-23,2021-06-06,Collision,1886.61,Monthly,50000,False,Covered by SAAQ,True,2023-10-17,Vandalism,166.72,Not-At-Fault,Thomas Sexton,None,1582.62,"Schroeder, Griffin and Carter"
QC-61956273,Jimmy Frey,1984-09-16,Q6042104,"656 Burton Spurs Suite 258, South Robert, NU H2M 1A8",Honda,F-150,2007,7e38ee75-0987-45e,Québec Auto Insurance Corp,2024-08-29,2022-07-16,Comprehensive,897.84,Annually,50000,True,Covered by SAAQ,True,2022-04-30,Vandalism,12375.88,No Claim,Jacqueline Williams,Front bumper dent,2567.18,Medina-Brown
QC-59063127,Andrea Shepherd,1973-04-09,Q4058107,"02879 Taylor Parkways, Josephhaven, SK V1Y9X6",Honda,Camry,2015,2c2d3782-a6c7-45d,Québec Auto Insurance Corp,2024-09-19,2020-06-01,Liability,1778.08,Annually,50000,True,Covered by SAAQ,True,2022-08-30,Theft,14654.32,Not-At-Fault,Robert Sullivan,Front bumper dent,3858.22,"Galvan, Coffey and Sanders"
QC-45767949,Tammy Arellano,1985-12-04,Q2924295,"95437 Simon Trail Apt. 537, East Angela, NS H8K 8N4",Chevrolet,F-150,2012,866e4f43-85db-433,Intact Insurance,2023-05-04,2025-02-05,Comprehensive,1396.33,Quarterly,50000,False,Covered by SAAQ,True,2020-12-22,Collision,784.78,Not-At-Fault,Jessica Rodriguez,Front bumper dent,1375.26,Gibson Ltd
QC-92797866,Anthony Bell,1978-02-02,Q6730935,"73955 Hendricks Turnpike Suite 267, Brownshire, NU J6M 4G1",Toyota,X5,2012,2d2e494a-fb80-432,Québec Auto Insurance Corp,2020-04-07,2020-08-12,All,2260.49,Annually,50000,True,Covered by SAAQ,True,2024-05-08,Vandalism,2443.48,At-Fault,Ashley Gray,Total loss,2482.17,Dunn-Reeves
QC-77925372,Scott Reese,1949-02-13,Q6796276,"8411 Jean Squares, South Douglasfort, PE J7S9J8",Honda,Malibu,2007,ef657f8e-cb5d-4a1,Québec Auto Insurance Corp,2023-06-26,2020-06-21,Comprehensive,1500.05,Quarterly,50000,True,Covered by SAAQ,True,2023-01-26,Vandalism,6092.7,No Claim,Jody Wheeler,Front bumper dent,574.58,Cole PLC
QC-76228768,Sarah Proctor,1950-11-16,Q3526683,"51959 Debbie Parkway Suite 280, Whitebury, PE R4A6E3",Toyota,Camry,2017,3c7c5514-cfc8-469,Intact Insurance,2021-07-13,2020-09-12,Liability,1101.9,Quarterly,50000,True,Covered by SAAQ,True,2025-02-20,Vandalism,2585.8,Not-At-Fault,Vanessa Rice,Front bumper dent,352.22,"Hill, Miller and Parrish"
QC-28691861,John Hansen,1981-10-02,Q2597302,"18620 Holly Manor, South Charlesbury, AB C6B 3A5",Toyota,Civic,2008,f138165b-5fe0-43d,Desjardins,2021-12-08,2020-02-11,Comprehensive,1163.09,Quarterly,50000,True,Covered by SAAQ,True,2023-11-17,Collision,5763.6,No Claim,Crystal Dorsey DVM,Front bumper dent,2493.78,Thompson Inc
QC-96463846,Charles Sullivan,1966-01-07,Q6108085,"7151 Mary Oval, Bryantland, NT K4M 7Y4",Ford,Malibu,2013,e7639311-a805-4c8,Québec Auto Insurance Corp,2025-01-19,2023-07-03,All,578.09,Annually,50000,False,Covered by SAAQ,True,2021-08-20,Vandalism,12934.06,No Claim,Rachel Williams,Total loss,4922.85,Ferguson Ltd
QC-38766124,Dennis Smith,1968-04-12,Q5634143,"96473 Phillips Crossroad, New Wendymouth, NL V9V5E6",Toyota,Malibu,2024,9742aa64-87fa-49d,Québec Auto Insurance Corp,2023-11-12,2021-07-31,Comprehensive,783.98,Annually,50000,False,Covered by SAAQ,True,2022-12-21,None,28.97,No Claim,Stephanie Mueller,Windshield crack,2170.75,Martinez Group
QC-64738138,Hannah Shaw,2004-01-18,Q5477647,"34131 Gonzalez Center, East Dana, ON V9R4S3",Toyota,F-150,2019,688b5722-7e88-41e,Desjardins,2020-07-02,2020-09-11,Comprehensive,1710.83,Quarterly,50000,True,Covered by SAAQ,True,2024-06-10,Fire,7856.06,Not-At-Fault,Tammy Morrison,Total loss,4403.56,Flores LLC
QC-50949444,Angela Page,1950-04-06,Q1888321,"45191 Michelle Lock Suite 120, Kennethmouth, PE E8S7B3",Toyota,F-150,2019,25c621f8-927e-4b9,Intact Insurance,2022-08-26,2020-06-27,All,2009.55,Monthly,50000,False,Covered by SAAQ,True,2021-10-03,None,1078.39,At-Fault,Colleen Jordan,Total loss,3723.19,Walker PLC
QC-13858307,Thomas Wilson,1947-01-03,Q3907283,"70489 Miller Trail, Port Sierra, NS C4A4V8",Chevrolet,X5,2008,ebe9ea42-db2b-4d5,Intact Insurance,2020-10-02,2020-07-12,Comprehensive,1729.67,Quarterly,50000,True,Covered by SAAQ,True,2020-07-30,Theft,8580.6,At-Fault,Mrs. Rebecca Jones DDS,None,4283.87,Gonzales LLC
QC-59012032,Mrs. Mckenzie Crosby,1946-12-29,Q1407951,"63349 Mcneil Pass, Wangfurt, BC N3R5T6",Toyota,Civic,2014,79c77c60-bc51-44c,Desjardins,2024-10-24,2022-06-10,All,1609.32,Annually,50000,True,Covered by SAAQ,True,2022-03-29,None,14301.0,Not-At-Fault,Richard Coleman,Total loss,588.44,Lee Group
QC-30438372,Chris Lamb,2006-01-31,Q9341682,"839 Mike Rue, South Richard, QC K8N7S3",Honda,Civic,2008,ab9d30ab-e3fe-4e7,Desjardins,2021-04-15,2023-05-15,Liability,1973.95,Annually,50000,True,Covered by SAAQ,True,2021-12-15,None,9112.17,At-Fault,Cassandra Davis,Front bumper dent,912.48,Nelson-Anderson
QC-57410296,Alexis Stewart,1997-03-15,Q7531895,"67023 Jonathan Mission Suite 650, Aaronport, QC G7V 3T9",Chevrolet,Civic,2014,6ef5726f-13a6-4f4,Intact Insurance,2021-03-16,2020-07-24,Comprehensive,804.3,Annually,50000,True,Covered by SAAQ,True,2023-03-08,Theft,5163.97,Not-At-Fault,Mark Duncan,None,197.35,Morris Inc
QC-64620800,Rhonda Dominguez,1979-11-13,Q1841711,"303 Alexis Springs Suite 682, Lake Christophermouth, NB G7H 2S8",Honda,Malibu,2010,000cb69d-887b-4ed,Desjardins,2023-04-30,2024-09-24,All,2076.18,Monthly,50000,True,Covered by SAAQ,True,2025-01-06,Fire,861.77,No Claim,Laura Smith,Total loss,3940.62,Gonzalez-Terrell
QC-21926469,Steven Rivera,1980-08-23,Q7632724,"5911 Evans Haven, New Juan, NU J4T 9N2",Chevrolet,Camry,2005,367ec37f-61ff-4b4,Intact Insurance,2023-01-27,2022-11-28,All,984.21,Quarterly,50000,True,Covered by SAAQ,True,2025-02-21,Vandalism,14585.18,No Claim,Alexa Mcfarland,Total loss,1402.51,"Smith, Brown and Stewart"
QC-10613521,Michael Chapman,1978-02-05,Q3577224,"40511 Joseph Mall Suite 125, Timothyburgh, NB K1R 7B4",Ford,X5,2023,4912224c-8ab8-49f,Intact Insurance,2024-07-06,2021-06-26,Comprehensive,2257.06,Annually,50000,False,Covered by SAAQ,True,2022-05-01,Theft,11201.02,Not-At-Fault,Makayla Parker,Front bumper dent,2617.18,Sandoval-Daniels
QC-65147719,Tiffany Hubbard,1996-06-18,Q4037832,"1832 Christine Mountain, Amychester, NT J1G5S7",BMW,Malibu,2017,510fd3a3-c2b0-4ec,Intact Insurance,2020-12-28,2024-09-17,All,2350.2,Quarterly,50000,False,Covered by SAAQ,True,2025-01-26,Theft,11470.37,At-Fault,Tracey Adams,Windshield crack,374.04,Brown-Washington
